,id,antecedent,consequent,confidence,lift,length,freq,items,support,Category,Purity
38,25769803786,['d25bbb182b51d1594fe3b54a27ae143e'],['17d8b8e9c21ec0fc5b33724e32fe422e'],1.0,8046.4285714285725,2,5,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e']",4.438526409232135e-05,bed_bath_table,1.0
39,25769803791,['238314b88e4b8ffa496db6b1a201d897'],['9036be77e0a74cca6eeef0740649b97b'],1.0,16092.857142857145,2,5,"['238314b88e4b8ffa496db6b1a201d897', '9036be77e0a74cca6eeef0740649b97b']",4.438526409232135e-05,toys,1.0
40,17179869218,"['d80fce9f775927c7d602c2de926759f1', 'a3a10562c9d134b92f04b8cce298d037']",['d64738c7b2e2d1778a51e835d8f02568'],1.0,16092.857142857145,3,5,"['d80fce9f775927c7d602c2de926759f1', 'a3a10562c9d134b92f04b8cce298d037', 'd64738c7b2e2d1778a51e835d8f02568']",4.438526409232135e-05,bed_bath_table,1.0
41,17179869247,"['5dae498eff2d80057f56122235a36aff', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0cf2faf9749f53924cea652a09d8e327'],1.0,9387.5,3,5,"['5dae498eff2d80057f56122235a36aff', '0cf2faf9749f53924cea652a09d8e327', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
42,25769803806,['b3a397db9c6b4ddfed9d46f6fa03c65e'],['2196812e80b905c7071389c10ad035d3'],1.0,14081.25,2,5,"['b3a397db9c6b4ddfed9d46f6fa03c65e', '2196812e80b905c7071389c10ad035d3']",4.438526409232135e-05,furniture_decor,1.0
43,25769803857,['078e8db43688ea060cf754e7bd2b92e7'],['96d1c06692244e2fed6e1f9aa9552770'],0.5,3313.2352941176473,2,5,"['078e8db43688ea060cf754e7bd2b92e7', '96d1c06692244e2fed6e1f9aa9552770']",4.438526409232135e-05,bed_bath_table,1.0
44,8589934616,"['0de59eddc63167215c972b0d785ffa7b', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['5dae498eff2d80057f56122235a36aff'],1.0,14081.25,4,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '1065e0ebef073787a7bf691924c60eeb', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
45,17179869257,"['399f54c06661d06ca45c6e24ed238e0e', '99444c1e11fc38755dae86f5c67d3d1a']",['17d8b8e9c21ec0fc5b33724e32fe422e'],1.0,8046.4285714285725,3,9,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a']",7.989347536617843e-05,bed_bath_table,1.0
46,25769803815,['9eacfe990da87a66d7fc95e4f97bad14'],['ac1fcaf7402bfbf019afdcce1a784ad4'],0.8333333333333334,18775.0,2,5,"['ac1fcaf7402bfbf019afdcce1a784ad4', '9eacfe990da87a66d7fc95e4f97bad14']",4.438526409232135e-05,bed_bath_table,1.0
47,25769803796,['0de59eddc63167215c972b0d785ffa7b'],['5dae498eff2d80057f56122235a36aff'],0.75,10560.9375,2,6,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b']",5.326231691078562e-05,construction_tools_construction,1.0
48,25769803903,['7f9e40aa498f8f6edf4cc51215ecce9e'],['8d28eb3a7309368ca0de19e016266251'],0.8333333333333334,18775.0,2,5,"['8d28eb3a7309368ca0de19e016266251', '7f9e40aa498f8f6edf4cc51215ecce9e']",4.438526409232135e-05,health_beauty,1.0
49,25769803794,['0de59eddc63167215c972b0d785ffa7b'],['0cf2faf9749f53924cea652a09d8e327'],1.0,9387.5,2,8,"['0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327']",7.101642254771416e-05,construction_tools_construction,1.0
50,8589934624,"['0bcc3eeca39e1064258aa1e932269894', '53759a2ecddad2bb87a079a1f1519f73', '422879e10f46682990de24d770e7f83d']",['389d119b48cf3043d311335e499d9c6b'],1.0,270.7932692307692,4,5,"['0bcc3eeca39e1064258aa1e932269894', '53759a2ecddad2bb87a079a1f1519f73', '389d119b48cf3043d311335e499d9c6b', '422879e10f46682990de24d770e7f83d']",4.438526409232135e-05,garden_tools,1.0
51,17179869259,"['0bcc3eeca39e1064258aa1e932269894', '389d119b48cf3043d311335e499d9c6b']",['422879e10f46682990de24d770e7f83d'],0.6,130.48262548262548,3,6,"['0bcc3eeca39e1064258aa1e932269894', '389d119b48cf3043d311335e499d9c6b', '422879e10f46682990de24d770e7f83d']",5.326231691078562e-05,garden_tools,1.0
52,17179869240,"['17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",['d25bbb182b51d1594fe3b54a27ae143e'],0.625,14081.25,3,5,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
53,17179869190,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e']",['6a0713a63e990052795623e76cc2995e'],0.8888888888888888,4353.623188405797,3,8,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",7.101642254771416e-05,bed_bath_table,1.0
54,25769803913,['38e19855caf485b504d6f33ed31a9eb4'],['be0e6c61c2bcdd9a4d022ba67fd66189'],1.0,14081.25,2,6,"['38e19855caf485b504d6f33ed31a9eb4', 'be0e6c61c2bcdd9a4d022ba67fd66189']",5.326231691078562e-05,furniture_decor,0.5
55,17179869244,"['d25bbb182b51d1594fe3b54a27ae143e', '6a0713a63e990052795623e76cc2995e']",['399f54c06661d06ca45c6e24ed238e0e'],1.0,12516.666666666666,3,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
56,8589934593,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '6a0713a63e990052795623e76cc2995e']",['17d8b8e9c21ec0fc5b33724e32fe422e'],1.0,8046.4285714285725,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
57,17179869219,"['507914b4af243e0589c389ac50545ef6', 'bf1a9a02e2160143755052e6bf59740f']",['5b1f3328a2c6f837ecce21bca1489939'],0.8333333333333334,15645.833333333334,3,5,"['5b1f3328a2c6f837ecce21bca1489939', '507914b4af243e0589c389ac50545ef6', 'bf1a9a02e2160143755052e6bf59740f']",4.438526409232135e-05,construction_tools_construction,1.0
58,17179869224,"['0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0cf2faf9749f53924cea652a09d8e327'],1.0,9387.5,3,5,"['0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
59,25769803813,['9474f3c0da0c4fd0bdf88cf6ac1b5d04'],['49650e49c3af7ccc896f634d039cd921'],0.625,8800.78125,2,5,"['9474f3c0da0c4fd0bdf88cf6ac1b5d04', '49650e49c3af7ccc896f634d039cd921']",4.438526409232135e-05,furniture_decor,1.0
60,17179869202,"['1ba4e3fe92f16fd5a8942f7b7d804b52', 'b6ada73818651fe7e64be10653062ea2']",['e11092e9722d1b6f8c18cd8947a1daff'],1.0,8046.4285714285725,3,6,"['1ba4e3fe92f16fd5a8942f7b7d804b52', 'b6ada73818651fe7e64be10653062ea2', 'e11092e9722d1b6f8c18cd8947a1daff']",5.326231691078562e-05,baby,1.0
61,25769803826,['e6b314a2236c162ede1a879f1075430f'],['ad4b5def91ac7c575dbdf65b5be311f4'],0.64,2486.0689655172414,2,16,"['e6b314a2236c162ede1a879f1075430f', 'ad4b5def91ac7c575dbdf65b5be311f4']",0.00014203284509542831,computers_accessories,1.0
62,25769803882,['5dae498eff2d80057f56122235a36aff'],['678c229b41c0e497d35a25a8be1cc631'],0.625,11734.375,2,5,"['678c229b41c0e497d35a25a8be1cc631', '5dae498eff2d80057f56122235a36aff']",4.438526409232135e-05,construction_tools_construction,1.0
63,25769803898,['d80fce9f775927c7d602c2de926759f1'],['d64738c7b2e2d1778a51e835d8f02568'],1.0,16092.857142857145,2,5,"['d80fce9f775927c7d602c2de926759f1', 'd64738c7b2e2d1778a51e835d8f02568']",4.438526409232135e-05,bed_bath_table,1.0
64,25769803917,['7a5b821fca01c5a75fa33c06f249e0f5'],['c2b534c5a4a6cbfc41aeaf362fb0c060'],1.0,14081.25,2,5,"['7a5b821fca01c5a75fa33c06f249e0f5', 'c2b534c5a4a6cbfc41aeaf362fb0c060']",4.438526409232135e-05,health_beauty,0.5
65,6,"['399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",['d25bbb182b51d1594fe3b54a27ae143e'],0.625,14081.25,5,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
66,8589934607,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0cf2faf9749f53924cea652a09d8e327'],1.0,9387.5,4,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
67,17179869245,"['d25bbb182b51d1594fe3b54a27ae143e', '6a0713a63e990052795623e76cc2995e']",['17d8b8e9c21ec0fc5b33724e32fe422e'],1.0,8046.4285714285725,3,5,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
68,25769803845,['f04c24eaa43e9192315d3aa0b3f00c1c'],['f8077831f3c3f393fb67b93c5acd8daf'],0.8333333333333334,4470.238095238095,2,5,"['f04c24eaa43e9192315d3aa0b3f00c1c', 'f8077831f3c3f393fb67b93c5acd8daf']",4.438526409232135e-05,furniture_decor,0.5
69,8589934632,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",['399f54c06661d06ca45c6e24ed238e0e'],1.0,12516.666666666666,4,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
70,17179869226,"['0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['5dae498eff2d80057f56122235a36aff'],1.0,14081.25,3,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
71,17179869246,"['5dae498eff2d80057f56122235a36aff', '4a5c3967bfd3629fe07ef4d0cc8c3818']",['0de59eddc63167215c972b0d785ffa7b'],1.0,14081.25,3,5,"['5dae498eff2d80057f56122235a36aff', '0de59eddc63167215c972b0d785ffa7b', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
72,25769803829,['1065e0ebef073787a7bf691924c60eeb'],['0cf2faf9749f53924cea652a09d8e327'],0.75,7040.625,2,9,"['0cf2faf9749f53924cea652a09d8e327', '1065e0ebef073787a7bf691924c60eeb']",7.989347536617843e-05,construction_tools_construction,1.0
73,9,"['d25bbb182b51d1594fe3b54a27ae143e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",['399f54c06661d06ca45c6e24ed238e0e'],1.0,12516.666666666666,5,5,"['d25bbb182b51d1594fe3b54a27ae143e', '399f54c06661d06ca45c6e24ed238e0e', '17d8b8e9c21ec0fc5b33724e32fe422e', '99444c1e11fc38755dae86f5c67d3d1a', '6a0713a63e990052795623e76cc2995e']",4.438526409232135e-05,bed_bath_table,1.0
74,25769803925,['181b31b11ea16a87d5acab5a78320b93'],['5554c5718f820a868853dbc5ca859b3b'],1.0,18775.0,2,5,"['181b31b11ea16a87d5acab5a78320b93', '5554c5718f820a868853dbc5ca859b3b']",4.438526409232135e-05,sports_leisure,1.0
75,17179869186,"['0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327']",['4a5c3967bfd3629fe07ef4d0cc8c3818'],0.625,5415.865384615385,3,5,"['0de59eddc63167215c972b0d785ffa7b', '0cf2faf9749f53924cea652a09d8e327', '4a5c3967bfd3629fe07ef4d0cc8c3818']",4.438526409232135e-05,construction_tools_construction,1.0
76,25769803782,['ea3da91e6ba865972f9344cb9265296b'],['3c5ba90e09547db90868e803d139de30'],0.5555555555555556,6953.7037037037035,2,5,"['3c5ba90e09547db90868e803d139de30', 'ea3da91e6ba865972f9344cb9265296b']",4.438526409232135e-05,furniture_decor,1.0
